OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE,x,y,Longitude,Latitude
2988,2655,442834.0,330,Optum - Nordstrom Tower,Optum,1229 Madison St,98104.0,1273268.65875928,226104.75034368,-122.32185764513494,47.61012187666476
2989,10000772,,800,New Hope Presbyterian Church,New Hope Presbyterian Church,19800 108TH AVE SE,98031.0,1303236.71135587,157949.409292445,-122.19549460148646,47.4248282192033
2990,6002958,0.0,600,East Plateau Trail Site,East Plateau Trail Site,216th Ave SE and SE 43rd Way to SE Klahanie Blvd and Issaqu,98029.0,1345732.8379776,209759.169845939,-122.02709194992028,47.56877926638485
2991,2309,0.0,330,Indigo Urgent Care - Kirkland,Indigo Urgent Care,12423 Totem Lake Blvd NE,98034.0,1309088.86172502,261856.170966685,-122.17919798057227,47.709925605383795
2992,513,44972.0,600,North Kirkland Community Center Park,North Kirkland Community Center Park,12421 103rd Ave NE,98034.0,1302954.39531945,262764.541525275,-122.20417688664412,47.71211866784357
2993,1561,832858.0,60,Dexter Horton Bldg,Dexter Horton Bldg,710 2nd Ave,98104.0,1270504.35687318,223778.424943849,-122.33287834193233,47.60359836515517
2994,960,0.0,600,Cowen Park,Cowen Park,Brooklyn Ave & NE 62th St,98115.0,1275884.04886968,248809.453949943,-122.3130264284322,47.67249322445437
2995,1800,0.0,60,Prefontaine Bldg,Prefontaine Bldg,110 Prefontaine Pl S,98104.0,1271352.0930386,222961.293047935,-122.32937828170199,47.60140386039676
2996,1007,0.0,120,Crown Hill Cemetery,Crown Hill,8712 12th Ave NW,98117.0,1261738.46889319,256395.860365018,-122.37104572579014,47.69252702042316
2997,454,0.0,720,Novelty Hill - Januik Winery,Novelty Hill - Januik,14710 Woodinville-Redmond Rd NE,98072.0,1315625.41131595,271029.093893766,-122.15329058592549,47.7353795584085
2998,2231,716884.0,530,Auburn QFC,Auburn QFC,2902 Auburn Way S,98002.0,1303513.82989611,108406.769204691,-122.19084512135326,47.289042799563966
2999,2435,862130.0,64,Ravensdale Post Office,Ravensdale Post Office,27200 272nd Ave SE,98051.0,1356572.01216535,132573.666736931,-121.97853664408815,47.35765211467108
3000,641,0.0,600,Sportsman Park,Sportsman Park,187th Ave NE & NE 65th St,98052.0,1330458.62508777,244732.827916861,-122.09127243492426,47.66398002088319
3001,1380,0.0,600,Smith Cove Park,Smith Cove Park,W Marina Pl & 21st Ave W,98119.0,1257166.98591019,234638.50394544,-122.38781988695114,47.632639814172414
3002,660115,664099.0,66,Station 72,72,25620 140th Ave SE,98042.0,1313088.87505044,138443.203226194,-122.1543485743926,47.3718312309556
3003,2218,264763.0,60,Four Freedoms House,Four Freedoms House,747 N 135th St,98133.0,1267371.81589419,268661.517920271,-122.34915708428898,47.72645282661997
3004,213,70.0,660,Bennett Elementary School,Bennett,17900 NE 16th St,98008.0,1327585.99992752,230465.000153348,-122.10197416069101,47.62474095376046
3005,6600614,144.0,664,Puget Sound Skills Center,Skills Center,18010 8th Ave S,98148.0,1271810.99992919,164457.999949768,-122.3229287521703,47.44107219687854
3006,6600123,12141.0,660,Albert Einstein Elementary School,Einstein,18025 NE 116th St  ,98052.0,1328988.00007628,258710.000093684,-122.09817200985815,47.70222697460223
3007,742,595133.0,660,Ridgewood Elementary School,Ridgewood,18030 162nd Pl SE,98058.0,1321477.00000644,163325.999917194,-122.12218421748953,47.44042714509009
3008,1239,16162.0,664,St. Mark Catholic Classical School,St. Mark,18051 15th Pl NE,98155.0,1276301.00013553,281054.000025019,-122.31385208817339,47.76089658449332
3009,6600216,321810.0,664,Salmon Bay K-8 School ,Salmon Bay,1810 NW 65th St,98117.0,1259293.00003086,250739.999957606,-122.38051178454361,47.67689032616963
3010,2141,180835.0,663,University of Washington-Bothell,UW Bothell,18115 Campus Way NE,98011.0,1306581.99994086,279801.999904349,-122.19066442318741,47.75899537758528
3011,1153,16150.0,660,Parkwood Elementary School,Parkwood,1815 N 155th St,98133.0,1270582.00009061,273825.000047356,-122.3365259839168,47.74077828003236
3012,1369,384842.0,664,St. Philomena Catholic School,St. Philomena,1815 S 220th St,98198.0,1274542.00004461,151032.999896944,-122.31085357199858,47.40441890542092
3013,1138,12274.0,662,Ingraham High School,Ingraham,1819 N 135th St,98133.0,1270138.99999236,268527.00014469,-122.3379051487854,47.72623298177387
3014,580,1228969.0,662,Tahoma High School,Tahoma,23499 SE Tahoma Way,98038.0,1344107.61714669,132769.143052027,-122.02882998388563,47.35766829914453
3015,2142,174096.0,663,Cascadia College,Cascadia,18225 Campus Way NE,98011.0,1306394.99998677,280088.999986514,-122.19144517557093,47.75977301357179
3016,10000773,,800,New Beginnings Christian Fellowship,New Beginnings Christian Fellowship,19300 108TH AVE SE,98031.0,1303275.46652769,159446.802623108,-122.19544512775015,47.428934540659135
3017,10000774,,800,True Light Church in Seattle,True Light Church,14054 WALLINGFORD AVE N,98133.0,1270548.17273045,270649.732775852,-122.33641140134056,47.732073211560234
3018,10000775,,800,Filipino-American Christian Church,Filipino-American Christian Church,8018 FREMONT AVE N,98103.0,1266997.01283802,254435.932854444,-122.34954094543343,47.687440996507824
3019,10000776,,800,Haller Lake United Methodist Church,United Methodist Church,13055 1ST AVE NE,98125.0,1272212.31572761,267899.13525869,-122.32943305518886,47.724622837964006
3020,10000778,,800,St. Matthew Catholic Church,St. Matthew Catholic Church,1240 NE 127TH ST,98125.0,1276034.39765036,266766.716263682,-122.31381839306319,47.72172154526581
3021,10000779,,800,Latvian Community Center,Latvian Community Center,11710 3RD AVE NE,98125.0,1273161.43850127,264284.861975431,-122.3252928419162,47.71476676556633
